matrix,baseline,baseline_group,precision_group,status,gpu,rows,cols,nnz,pre_ms,spmv_ms,avg_ms,min_ms,gflops,conversion_ms,storage_ratio,ref_baseline,ref_spmv_ms,ref_gflops,error_metric,elapsed_s
AG-Monien/cage/cage_G_01.mtx,cusparse_double,main,double,ok,6,10,10,30,0.1316,0.0120,0.0120,0.0082,,,,,,,,1.362
AG-Monien/cage/cage_G_01.mtx,cusparse_float,main_float,float,ok,2,10,10,30,0.1237,0.0075,0.0075,0.0060,,,,,,,,0.921
AG-Monien/cage/cage_G_01.mtx,dasp_double,main,double,ok,2,,,,0.0050,0.0041,0.0041,,0.0146,,,,,,,0.665
AG-Monien/cage/cage_G_01.mtx,dasp_half,main_reduced_precision,half,ok,2,,,,0.0050,0.0058,0.0058,,0.0104,,,,,,,0.932
AG-Monien/cage/cage_G_01.mtx,packsell_pack16,structural_related,half,ok,2,10,10,30,,0.003375,0.003375,,0.0177781,,,,,,0.0004729,1.481
AG-Monien/cage/cage_G_01.mtx,packsell_pack32,structural_related,float,ok,2,10,10,30,,0.003923,0.003923,,0.0152952,,,,,,0,1.474
AG-Monien/cage/cage_G_01.mtx,spaden_bitmap_float,structural_related,float,ok,2,10,10,30,,0.0043,0.0043,,0.0140,6.02,64.8,,,,0.000000e+00,0.424
AG-Monien/cage/cage_G_02.mtx,cusparse_double,main,double,ok,5,14,14,42,0.1533,0.0138,0.0138,0.0102,,,,,,,,0.653
AG-Monien/cage/cage_G_02.mtx,cusparse_float,main_float,float,ok,2,14,14,42,0.1281,0.0070,0.0070,0.0052,,,,,,,,1.212
AG-Monien/cage/cage_G_02.mtx,dasp_double,main,double,ok,2,,,,0.0070,0.0041,0.0041,,0.0205,,,,,,,1.485
AG-Monien/cage/cage_G_02.mtx,dasp_half,main_reduced_precision,half,ok,2,,,,0.0050,0.0057,0.0057,,0.0146,,,,,,,1.128
AG-Monien/cage/cage_G_02.mtx,packsell_pack16,structural_related,half,ok,2,14,14,42,,0.003287,0.003287,,0.0255547,,,,,,0.000689488,2.287
AG-Monien/cage/cage_G_02.mtx,packsell_pack32,structural_related,float,ok,2,14,14,42,,0.003394,0.003394,,0.024753,,,,,,0,2.025
AG-Monien/cage/cage_G_02.mtx,spaden_bitmap_float,structural_related,float,ok,2,14,14,42,,0.0048,0.0048,,0.0177,7.62,62.6,,,,0.000000e+00,0.971
AG-Monien/cage/cage_G_31.mtx,cusparse_double,main,double,ok,2,19,19,76,0.1535,0.0156,0.0156,0.0102,,,,,,,,0.932
AG-Monien/cage/cage_G_31.mtx,cusparse_float,main_float,float,ok,3,19,19,76,0.1302,0.0071,0.0071,0.0059,,,,,,,,1.739
AG-Monien/cage/cage_G_31.mtx,dasp_double,main,double,ok,3,,,,0.0070,0.0062,0.0062,,0.0244,,,,,,,1.541
AG-Monien/cage/cage_G_31.mtx,dasp_half,main_reduced_precision,half,ok,3,,,,0.0070,0.0022,0.0022,,0.0683,,,,,,,1.384
AG-Monien/cage/cage_G_31.mtx,packsell_pack16,structural_related,half,ok,3,19,19,76,,0.003110,0.003110,,0.0488809,,,,,,0.000968338,2.024
AG-Monien/cage/cage_G_31.mtx,packsell_pack32,structural_related,float,ok,3,19,19,76,,0.003240,0.003240,,0.0469078,,,,,,2.75894e-07,2.239
AG-Monien/cage/cage_G_31.mtx,spaden_bitmap_float,structural_related,float,ok,3,19,19,76,,0.0043,0.0043,,0.0355,12.15,68.0,,,,0.000000e+00,1.448
AG-Monien/cage/cage_G_36.mtx,cusparse_double,main,double,ok,4,42,42,210,0.1631,0.0158,0.0158,0.0102,,,,,,,,1.063
AG-Monien/cage/cage_G_36.mtx,cusparse_float,main_float,float,ok,5,42,42,210,0.1380,0.0075,0.0075,0.0062,,,,,,,,1.706
AG-Monien/cage/cage_G_36.mtx,dasp_double,main,double,ok,5,,,,0.0130,0.0041,0.0041,,0.1024,,,,,,,1.204
AG-Monien/cage/cage_G_36.mtx,dasp_half,main_reduced_precision,half,ok,5,,,,0.0130,0.0040,0.0040,,0.1052,,,,,,,1.389
AG-Monien/cage/cage_G_36.mtx,packsell_pack16,structural_related,half,ok,5,42,42,210,,0.003057,0.003057,,0.1374,,,,,,0.00125316,3.697
AG-Monien/cage/cage_G_36.mtx,packsell_pack32,structural_related,float,ok,5,42,42,210,,0.004541,0.004541,,0.0924811,,,,,,4.21543e-07,2.447
AG-Monien/cage/cage_G_36.mtx,spaden_bitmap_float,structural_related,float,ok,5,42,42,210,,0.0051,0.0051,,0.0824,28.16,67.8,,,,0.000000e+00,1.900
AG-Monien/se/se_G_01.mtx,cusparse_double,main,double,ok,1,8,8,20,0.1326,0.0111,0.0111,0.0082,,,,,,,,0.403
AG-Monien/se/se_G_01.mtx,cusparse_float,main_float,float,ok,7,8,8,20,0.1263,0.0076,0.0076,0.0067,,,,,,,,0.573
AG-Monien/se/se_G_01.mtx,dasp_double,main,double,ok,7,,,,0.0060,0.0041,0.0041,,0.0098,,,,,,,0.337
AG-Monien/se/se_G_01.mtx,dasp_half,main_reduced_precision,half,ok,7,,,,0.0050,0.0021,0.0021,,0.0195,,,,,,,0.330
AG-Monien/se/se_G_01.mtx,packsell_pack16,structural_related,half,ok,7,8,8,20,,0.003823,0.003823,,0.0104622,,,,,,0.000172387,0.794
AG-Monien/se/se_G_01.mtx,packsell_pack32,structural_related,float,ok,7,8,8,20,,0.004269,0.004269,,0.00937039,,,,,,0,0.815
AG-Monien/se/se_G_01.mtx,spaden_bitmap_float,structural_related,float,ok,7,8,8,20,,0.0030,0.0030,,0.0132,5.28,55.1,,,,0.000000e+00,0.337
AG-Monien/se/se_G_02.mtx,cusparse_double,main,double,ok,7,16,16,42,0.1337,0.0114,0.0114,0.0082,,,,,,,,0.394
AG-Monien/se/se_G_02.mtx,cusparse_float,main_float,float,ok,7,16,16,42,0.1250,0.0080,0.0080,0.0066,,,,,,,,0.988
AG-Monien/se/se_G_02.mtx,dasp_double,main,double,ok,7,,,,0.0090,0.0041,0.0041,,0.0205,,,,,,,0.919
AG-Monien/se/se_G_02.mtx,dasp_half,main_reduced_precision,half,ok,7,,,,0.0080,0.0041,0.0041,,0.0205,,,,,,,0.887
