matrix,cusparse_double_ms,cusparse_float_ms,dasp_double_ms,dasp_half_ms,packsell_pack16_ms,packsell_pack32_ms,spaden_bitmap_float_ms,cusparse_double_status,cusparse_float_status,dasp_double_status,dasp_half_status,packsell_pack16_status,packsell_pack32_status,spaden_bitmap_float_status
AG-Monien/cage/cage_G_01.mtx,0.0120,0.0075,0.0041,0.0058,0.003375,0.003923,0.0043,ok,ok,ok,ok,ok,ok,ok
AG-Monien/cage/cage_G_02.mtx,0.0138,0.0070,0.0041,0.0057,0.003287,0.003394,0.0048,ok,ok,ok,ok,ok,ok,ok
AG-Monien/cage/cage_G_31.mtx,0.0156,0.0071,0.0062,0.0022,0.003110,0.003240,0.0043,ok,ok,ok,ok,ok,ok,ok
AG-Monien/cage/cage_G_36.mtx,0.0158,0.0075,0.0041,0.0040,0.003057,0.004541,0.0051,ok,ok,ok,ok,ok,ok,ok
AG-Monien/se/se_G_01.mtx,0.0111,0.0076,0.0041,0.0021,0.003823,0.004269,0.0030,ok,ok,ok,ok,ok,ok,ok
AG-Monien/se/se_G_02.mtx,0.0114,0.0080,0.0041,0.0041,0.003707,0.004261,0.0047,ok,ok,ok,ok,ok,ok,ok
AG-Monien/whitaker3/whitaker3.mtx,0.0151,0.0096,0.0041,0.0061,0.004278,0.004269,0.0113,ok,ok,ok,ok,ok,ok,ok
Andrianov/ex3sta1/ex3sta1.mtx,0.0147,0.0099,0.0281,0.0138,0.022795,0.043205,0.1066,ok,ok,ok,ok,ok,ok,ok
Andrianov/fxm3_6/fxm3_6.mtx,0.0141,0.0098,0.0145,0.0082,0.010534,0.016614,0.0219,ok,ok,ok,ok,ok,ok,ok
Andrianov/net25/net25.mtx,0.0142,0.0094,0.0143,0.0082,0.012565,0.022690,0.0733,ok,ok,ok,ok,ok,ok,ok
Arenas/jazz/jazz.mtx,0.0120,0.0079,0.0103,0.0062,0.008358,0.012581,0.0132,ok,ok,ok,ok,ok,ok,ok
Averous/epb0/epb0.mtx,0.0138,0.0092,0.0098,0.0053,0.004261,0.004328,0.0089,ok,ok,ok,ok,ok,ok,ok
Bai/bfwa62/bfwa62.mtx,0.0113,0.0076,0.0041,0.0041,0.003596,0.004382,0.0070,ok,ok,ok,ok,ok,ok,ok
Bai/bfwa782/bfwa782.mtx,0.0165,0.0082,0.0049,0.0041,0.003918,0.006318,0.0111,ok,ok,ok,ok,ok,ok,ok
Bai/bfwb62/bfwb62.mtx,0.0115,0.0074,0.0041,0.0041,0.004478,0.004254,0.0067,ok,ok,ok,ok,ok,ok,ok
Bai/bwm200/bwm200.mtx,0.0117,0.0077,0.0065,0.0046,0.003062,0.003162,0.0049,ok,ok,ok,ok,ok,ok,ok
Bai/bwm2000/bwm2000.mtx,0.0146,0.0089,0.0041,0.0021,0.002967,0.003596,0.0051,ok,ok,ok,ok,ok,ok,ok
Bai/cdde1/cdde1.mtx,0.0136,0.0083,0.0065,0.0041,0.003446,0.003310,0.0069,ok,ok,ok,ok,ok,ok,ok
Bai/cdde2/cdde2.mtx,0.0143,0.0087,0.0041,0.0041,0.003293,0.003821,0.0071,ok,ok,ok,ok,ok,ok,ok
Bai/cdde3/cdde3.mtx,0.0134,0.0084,0.0041,0.0041,0.003601,0.004112,0.0072,ok,ok,ok,ok,ok,ok,ok
Bai/cdde4/cdde4.mtx,0.0141,0.0081,0.0041,0.0041,0.003373,0.003467,0.0067,ok,ok,ok,ok,ok,ok,ok
Bai/cdde5/cdde5.mtx,0.0129,0.0082,0.0041,0.0041,0.004246,0.004089,0.0069,ok,ok,ok,ok,ok,ok,ok
Bai/cdde6/cdde6.mtx,0.0130,0.0081,0.0041,0.0041,0.003742,0.003350,0.0068,ok,ok,ok,ok,ok,ok,ok
Bai/ck104/ck104.mtx,0.0115,0.0076,0.0041,0.0041,0.003473,0.003847,0.0049,ok,ok,ok,ok,ok,ok,ok
Bai/ck400/ck400.mtx,0.0121,0.0078,0.0097,0.0041,0.003954,0.004245,0.0050,ok,ok,ok,ok,ok,ok,ok
Bai/ck656/ck656.mtx,0.0130,0.0080,0.0101,0.0041,0.003881,0.004286,0.0061,ok,ok,ok,ok,ok,ok,ok
Bai/cryg10000/cryg10000.mtx,0.0151,0.0090,0.0059,0.0041,0.004273,0.004179,0.0075,ok,ok,ok,ok,ok,ok,ok
Bai/cryg2500/cryg2500.mtx,0.0136,0.0094,0.0040,0.0041,0.003505,0.003705,0.0070,ok,ok,ok,ok,ok,ok,ok
Bai/dw4096/dw4096.mtx,0.0137,0.0098,0.0041,0.0092,0.004265,0.003490,0.0073,ok,ok,ok,ok,ok,ok,ok
Bai/dw8192/dw8192.mtx,0.0141,0.0094,0.0079,0.0090,0.003584,0.003840,0.0070,ok,ok,ok,ok,ok,ok,ok
Bai/mhd3200a/mhd3200a.mtx,0.0140,0.0087,0.0061,0.0041,0.004364,0.006386,0.0069,ok,ok,ok,ok,ok,ok,ok
Bai/mhd4800a/mhd4800a.mtx,0.0162,0.0088,0.0061,0.0041,0.004366,0.006471,0.0070,ok,ok,ok,ok,ok,ok,ok
Bai/mhda416/mhda416.mtx,0.0125,0.0077,0.0061,0.0041,0.004242,0.006410,0.0069,ok,ok,ok,ok,ok,ok,ok
Bai/odepa400/odepa400.mtx,0.0120,0.0077,0.0041,0.0041,0.004222,0.004263,0.0048,ok,ok,ok,ok,ok,ok,ok
Bai/rbsa480/rbsa480.mtx,0.0130,0.0079,0.0061,0.0062,0.006254,0.008358,0.0222,ok,ok,ok,ok,ok,ok,ok
Bai/rbsb480/rbsb480.mtx,0.0151,0.0081,0.0061,0.0075,0.004430,0.008241,0.0216,ok,ok,ok,ok,ok,ok,ok
Bai/rdb1250/rdb1250.mtx,0.0142,0.0086,0.0041,0.0041,0.003474,0.004297,0.0070,ok,ok,ok,ok,ok,ok,ok
Bai/rdb1250l/rdb1250l.mtx,0.0135,0.0099,0.0041,0.0066,0.004090,0.004097,0.0069,ok,ok,ok,ok,ok,ok,ok
Bai/rdb200/rdb200.mtx,0.0155,0.0076,0.0041,0.0041,0.003401,0.003170,0.0076,ok,ok,ok,ok,ok,ok,ok
