matrix,codec,accum,bytes_per_nnz,rel_maxrow_worst,rel_maxrow_mean,rel_l2_worst,rel_l2_mean,rel_maxrow_worst_rand,rel_l2_worst_rand,rel_maxrow_worst_struct,rel_l2_worst_struct,nnz,num_blocks
cant,bfp8,fp32,1.148066,2.026762e-02,6.343720e-03,3.667225e-01,2.819190e-02,5.093429e-03,3.947597e-03,2.026762e-02,3.667225e-01,4007383,296679
cant,bfp8,fp64,1.148066,2.026762e-02,6.343733e-03,3.667225e-01,2.819190e-02,5.093429e-03,3.947596e-03,2.026762e-02,3.667225e-01,4007383,296679
cant,bfp8_outlier,fp32,1.148066,2.026762e-02,6.343720e-03,3.667225e-01,2.819190e-02,5.093429e-03,3.947597e-03,2.026762e-02,3.667225e-01,4007383,296679
cant,bfp4,fp32,0.648066,2.943810e-01,1.047281e-01,3.085873e+00,2.644018e-01,1.159954e-01,6.440785e-02,2.943810e-01,3.085873e+00,4007383,296679
cant,bf16,fp32,2.000000,1.600110e-03,1.599996e-03,2.357633e-03,1.646839e-03,1.600110e-03,1.601606e-03,1.600000e-03,2.357633e-03,4007383,296679
cant,fp16,fp32,2.000000,2.323810e-04,1.469317e-04,3.709235e-03,3.676049e-04,1.554896e-04,1.322653e-04,2.323810e-04,3.709235e-03,4007383,296679
consph,bfp8,fp32,1.146911,5.911643e-02,1.116423e-02,5.353721e-02,1.091723e-02,8.594065e-03,6.275485e-03,5.911643e-02,5.353721e-02,6010480,441502
consph,bfp8,fp64,1.146911,5.911649e-02,1.116423e-02,5.353721e-02,1.091723e-02,8.594068e-03,6.275485e-03,5.911649e-02,5.353721e-02,6010480,441502
consph,bfp8_outlier,fp32,1.226902,2.892074e-02,6.046753e-03,3.773659e-02,7.702112e-03,4.627019e-03,4.425343e-03,2.892074e-02,3.773659e-02,6010480,441502
consph,bfp4,fp32,0.646911,8.694635e-01,1.798842e-01,9.804373e-01,1.951279e-01,1.198299e-01,1.096275e-01,8.694635e-01,9.804373e-01,6010480,441502
consph,bf16,fp32,2.000000,1.198469e-02,2.933717e-03,1.407513e-02,2.874326e-03,2.551130e-03,1.659732e-03,1.198469e-02,1.407513e-02,6010480,441502
consph,fp16,fp32,2.000000,1.549200e-03,3.766812e-04,1.755000e-03,3.591208e-04,3.113911e-04,2.064054e-04,1.549200e-03,1.755000e-03,6010480,441502
F1,bfp8,fp32,1.235142,3.065233e-02,9.287648e-03,1.863106e-01,1.874444e-02,9.291579e-03,6.270805e-03,3.065233e-02,1.863106e-01,26837113,3155272
F1,bfp8,fp64,1.235142,3.065231e-02,9.287653e-03,1.863106e-01,1.874444e-02,9.291571e-03,6.270805e-03,3.065231e-02,1.863106e-01,26837113,3155272
F1,bfp8_outlier,fp32,1.315142,6.267667e-03,1.910474e-03,1.068629e-01,1.077083e-02,2.007805e-03,3.617772e-03,6.267667e-03,1.068629e-01,26837113,3155272
F1,bfp4,fp32,0.735142,5.150160e-01,1.496949e-01,3.144290e+00,3.169204e-01,1.438237e-01,1.065613e-01,5.150160e-01,3.144290e+00,26837113,3155272
F1,bf16,fp32,2.000000,7.094169e-03,2.488487e-03,4.952334e-02,4.989771e-03,2.588002e-03,1.675793e-03,7.094169e-03,4.952334e-02,26837113,3155272
F1,fp16,fp32,2.000000,inf,inf,inf,inf,inf,inf,inf,inf,26837113,3155272
