matrix,n,nnz,variant,bytes_per_nnz,spd_ok,ms_per_iter,floor,sol_err,iter_1e-2,iter_1e-3,iter_1e-6,iter_1e-8,total_iters,time_1e-3_ms,time_1e-6_ms
cant,62451,4007383,cusparse_double,8.0000,1,0.095362,9.740e-09,5.083e-03,10,23,1025,2745,2745,2.1933,97.7463
cant,62451,4007383,cusparse_float,4.0000,1,0.080835,7.564e-08,5.056e-03,10,23,1027,-1,2821,1.8592,83.0173
cant,62451,4007383,cove_lossless,8.0000,1,0.077051,9.893e-09,5.083e-03,10,23,1025,2745,2745,1.7722,78.9776
cant,62451,4007383,cove_bf16,2.0000,0,0.074558,1.604e-03,1.000e+00,10,-1,-1,-1,424,-1.0000,-1.0000
cant,62451,4007383,cove_bfp8,1.1481,0,0.075167,4.162e-03,1.000e+00,10,-1,-1,-1,36,-1.0000,-1.0000
cant,62451,4007383,cove_bfp8_outlier,1.1481,0,0.075425,4.162e-03,1.000e+00,10,-1,-1,-1,36,-1.0000,-1.0000
consph,83334,6010480,cusparse_double,8.0000,1,0.118158,3.818e-07,3.699e-03,28,177,2272,-1,3000,20.9140,268.4553
consph,83334,6010480,cusparse_float,4.0000,1,0.112656,4.183e-07,3.832e-03,28,182,2341,-1,3000,20.5034,263.7279
consph,83334,6010480,cove_lossless,8.0000,1,0.091956,3.823e-07,3.699e-03,28,177,2277,-1,3000,16.2762,209.3831
consph,83334,6010480,cove_bf16,2.0000,1,0.087030,1.700e-03,4.387e-01,29,-1,-1,-1,528,-1.0000,-1.0000
consph,83334,6010480,cove_bfp8,1.1469,0,0.083598,6.658e-03,1.000e+00,38,-1,-1,-1,238,-1.0000,-1.0000
consph,83334,6010480,cove_bfp8_outlier,1.2269,0,0.085280,4.724e-03,1.000e+00,31,-1,-1,-1,288,-1.0000,-1.0000
shipsec1,140874,3568176,cusparse_double,8.0000,1,0.097182,1.667e-04,6.470e-01,56,261,-1,-1,839,25.3646,-1.0000
shipsec1,140874,3568176,cusparse_float,4.0000,1,0.093918,1.810e-04,6.447e-01,59,287,-1,-1,911,26.9546,-1.0000
shipsec1,140874,3568176,cove_lossless,8.0000,1,0.101285,1.717e-04,6.274e-01,56,249,-1,-1,906,25.2200,-1.0000
shipsec1,140874,3568176,cove_bf16,2.0000,0,0.097395,1.924e-03,1.000e+00,59,-1,-1,-1,395,-1.0000,-1.0000
shipsec1,140874,3568176,cove_bfp8,1.2957,0,0.098149,2.084e-02,1.000e+00,-1,-1,-1,-1,61,-1.0000,-1.0000
shipsec1,140874,3568176,cove_bfp8_outlier,1.3756,0,0.109399,4.036e-03,1.000e+00,60,-1,-1,-1,351,-1.0000,-1.0000
pdb1HYS,36417,4344765,cusparse_double,8.0000,1,0.095967,9.439e-09,6.704e-03,8,23,352,1627,1627,2.2072,33.7804
pdb1HYS,36417,4344765,cusparse_float,4.0000,1,0.091159,8.983e-08,6.285e-03,8,23,355,-1,1503,2.0967,32.3615
pdb1HYS,36417,4344765,cove_lossless,8.0000,1,0.073915,9.419e-09,6.704e-03,8,23,352,1627,1627,1.7000,26.0181
pdb1HYS,36417,4344765,cove_bf16,2.0000,0,0.082864,1.700e-03,1.000e+00,8,-1,-1,-1,140,-1.0000,-1.0000
pdb1HYS,36417,4344765,cove_bfp8,1.1116,0,0.092285,7.261e-03,1.000e+00,10,-1,-1,-1,67,-1.0000,-1.0000
pdb1HYS,36417,4344765,cove_bfp8_outlier,1.1916,0,0.093786,4.051e-03,1.000e+00,9,-1,-1,-1,92,-1.0000,-1.0000
