matrix,status,group,nnz,num_blocks,mat_fill,gspan,real_i8,null_i8,gain_i8,real_i4,null_i4,gain_i4
AG-Monien/cage/cage_G_16.mtx,pattern,AG-Monien,174,56,0.0971,0.0,,,,,,
AG-Monien/cage/cage_G_17.mtx,pattern,AG-Monien,174,55,0.09886,0.0,,,,,,
AG-Monien/cage/cage_G_18.mtx,pattern,AG-Monien,174,54,0.10069,0.0,,,,,,
AG-Monien/cage/cage_G_19.mtx,pattern,AG-Monien,174,54,0.10069,0.0,,,,,,
AG-Monien/cage/cage.mtx,pattern,AG-Monien,5124,1694,0.09452,0.0,,,,,,
AG-Monien/cage/cage_G_01.mtx,pattern,AG-Monien,30,5,0.1875,0.0,,,,,,
AG-Monien/cage/cage_G_02.mtx,pattern,AG-Monien,42,8,0.16406,0.0,,,,,,
AG-Monien/cage/cage_G_03.mtx,pattern,AG-Monien,72,16,0.14062,0.0,,,,,,
AG-Monien/cage/cage_G_12.mtx,pattern,AG-Monien,174,68,0.07996,0.0,,,,,,
AG-Monien/cage/cage_G_13.mtx,pattern,AG-Monien,174,60,0.09062,0.0,,,,,,
AG-Monien/cage/cage_G_14.mtx,pattern,AG-Monien,174,54,0.10069,0.0,,,,,,
AG-Monien/cage/cage_G_15.mtx,pattern,AG-Monien,174,56,0.0971,0.0,,,,,,
AG-Monien/se/se_G_05.mtx,pattern,AG-Monien,380,120,0.09896,0.0,,,,,,
AG-Monien/se/se_G_06.mtx,pattern,AG-Monien,762,248,0.09602,0.0,,,,,,
AG-Monien/se/se_G_07.mtx,pattern,AG-Monien,1532,504,0.09499,0.0,,,,,,
AG-Monien/se/se_G_08.mtx,pattern,AG-Monien,3066,1016,0.0943,0.0,,,,,,
AG-Monien/cage/cage_G_20.mtx,pattern,AG-Monien,174,56,0.0971,0.0,,,,,,
AG-Monien/cage/cage_G_21.mtx,pattern,AG-Monien,174,57,0.09539,0.0,,,,,,
AG-Monien/cage/cage_G_22.mtx,pattern,AG-Monien,174,57,0.09539,0.0,,,,,,
AG-Monien/cage/cage_G_23.mtx,pattern,AG-Monien,210,71,0.09243,0.0,,,,,,
AG-Monien/diag/diag.mtx,pattern,AG-Monien,8184,2211,0.11567,0.0,,,,,,
AG-Monien/grid1/grid1.mtx,pattern,AG-Monien,952,252,0.11806,0.0,,,,,,
AG-Monien/grid1_dual/grid1_dual.mtx,pattern,AG-Monien,840,295,0.08898,0.0,,,,,,
