matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
biplane-9.mtx,464521,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,21701,21701,84076,2713,26099,208792,true,0,672608,8,0.0075,0.0069,0.1882,0.0000,0.0148,0.0960,0.0000,0.0000,,SKIP,,2.567,
biplane-9.mtx,464521,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,672608,0,ok,none,21701,21701,84076,2713,26099,208792,true,0,0,0,0.0077,0.0069,0.1754,1.3551,0.0155,0.0907,10.9055,0.9871,,SKIP,,2.099,
biplane-9.mtx,464521,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,21701,21701,84076,2713,26099,208792,false,0,168152,2,0.0073,0.0066,0.2095,0.0000,0.0123,0.0915,0.0000,1.2987,,SKIP,,1.943,
biplane-9.mtx,464521,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,21701,21701,84076,2713,26099,208792,false,0,168152,2,0.0072,0.0065,0.1766,0.0000,0.0139,0.0932,0.0000,1.1086,,SKIP,,1.680,
biplane-9.mtx,464521,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,21701,21701,84076,2713,26099,208792,false,0,136274,1.62084,0.0083,0.0068,0.1836,0.0000,0.0126,0.0953,0.0000,1.7924,,SKIP,,1.767,
biplane-9.mtx,464521,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,21701,21701,84076,2713,26099,208792,false,0,136274,1.62084,0.0082,0.0077,0.1809,0.0000,0.0155,0.1018,0.0000,3.4044,,SKIP,,2.052,
biplane-9.mtx,464521,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,21701,21701,84076,2713,26099,208792,false,0,94236,1.12084,0.0090,0.0074,0.1836,0.0000,0.0164,0.1116,0.0000,2.2397,,SKIP,,2.179,
biplane-9.mtx,464521,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,21701,21701,84076,2713,26099,,1,0,672608,8,0.0062,0.0051,,,0.0000,0.0000,,,0.0000,SKIP,,2.206,
biplane-9.mtx,464521,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,21701,21701,84076,0,0,423112,true,0,672608,8,0.0140,0.0123,0.0000,,0.0000,0.0000,,0.0000,0.1500,SKIP,,1.932,
cage_G_07.mtx,861,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,58,58,174,8,80,640,true,0,1392,8,0.0071,0.0051,0.1817,0.0000,0.0116,0.0881,0.0000,0.0000,,SKIP,,2.007,
cage_G_07.mtx,861,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,1392,0,ok,none,58,58,174,8,80,640,true,0,0,0,0.0057,0.0044,0.1773,0.1342,0.0124,0.0925,0.1540,0.0455,,SKIP,,2.257,
cage_G_07.mtx,861,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,58,58,174,8,80,640,false,0,348,2,0.0070,0.0050,0.1750,0.0000,0.0119,0.0849,0.0000,0.0570,,SKIP,,1.950,
cage_G_07.mtx,861,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,58,58,174,8,80,640,false,0,348,2,0.0071,0.0056,0.2771,0.0000,0.0116,0.0827,0.0000,0.0585,,SKIP,,1.908,
cage_G_07.mtx,861,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,58,58,174,8,80,640,false,0,334,1.91954,0.0057,0.0040,0.1732,0.0000,0.0115,0.0838,0.0000,0.0589,,SKIP,,2.373,
cage_G_07.mtx,861,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,58,58,174,8,80,640,false,0,334,1.91954,0.0057,0.0041,0.1705,0.0000,0.0126,0.0882,0.0000,0.0768,,SKIP,,2.116,
cage_G_07.mtx,861,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,58,58,174,8,80,640,false,0,247,1.41954,0.0069,0.0064,0.1733,0.0000,0.0119,0.0885,0.0000,0.0731,,SKIP,,2.146,
cage_G_07.mtx,861,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,58,58,174,8,80,,1,0,1392,8,0.0052,0.0044,,,0.0000,0.0000,,,0.0000,SKIP,,2.025,
cage_G_07.mtx,861,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,58,58,174,0,0,932,true,0,1392,8,0.0118,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1786,SKIP,,1.819,
cage_G_15.mtx,861,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,58,58,174,8,56,448,true,0,1392,8,0.0060,0.0052,0.2029,0.0000,0.0166,0.0978,0.0000,0.0000,,SKIP,,2.005,
cage_G_15.mtx,861,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,1392,0,ok,none,58,58,174,8,56,448,true,0,0,0,0.0056,0.0044,0.1794,0.1387,0.0111,0.0899,0.1616,0.0461,,SKIP,,2.011,
cage_G_15.mtx,861,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,58,58,174,8,56,448,false,0,348,2,0.0072,0.0052,0.1749,0.0000,0.0118,0.0884,0.0000,0.0556,,SKIP,,2.000,
cage_G_15.mtx,861,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,58,58,174,8,56,448,false,0,348,2,0.0063,0.0056,0.1688,0.0000,0.0113,0.0857,0.0000,0.0495,,SKIP,,2.238,
cage_G_15.mtx,861,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,58,58,174,8,56,448,false,0,286,1.64368,0.0048,0.0036,0.1804,0.0000,0.0119,0.0878,0.0000,0.0695,,SKIP,,2.000,
cage_G_15.mtx,861,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,58,58,174,8,56,448,false,0,286,1.64368,0.0057,0.0053,0.2345,0.0000,0.0164,0.1321,0.0000,0.0903,,SKIP,,2.427,
cage_G_15.mtx,861,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,58,58,174,8,56,448,false,0,199,1.14368,0.0069,0.0067,0.1779,0.0000,0.0112,0.0901,0.0000,0.0700,,SKIP,,1.910,
cage_G_15.mtx,861,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,58,58,174,8,56,,1,0,1392,8,0.0057,0.0042,,,0.0000,0.0000,,,0.0000,SKIP,,2.267,
cage_G_15.mtx,861,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,58,58,174,0,0,932,true,0,1392,8,0.0117,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1470,SKIP,,2.499,
cage_G_23.mtx,970,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,70,70,210,9,71,568,true,0,1680,8,0.0063,0.0050,0.2002,0.0000,0.0132,0.0926,0.0000,0.0000,,SKIP,,1.912,
cage_G_23.mtx,970,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,1680,0,ok,none,70,70,210,9,71,568,true,0,0,0,0.0052,0.0046,0.1865,0.1463,0.0119,0.0942,0.1691,0.0489,,SKIP,,2.378,
