matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
176bit.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0096,0.0084,1.645833,1.000000,,658160,479352,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
176bit.mtx,auto_lossless_lb,all_one_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_win,0.0095,0.0087,1.663158,1.010526,,0,479352,auto_lossless,all_one,true,1,0,true,0,exact_abs_or_rel,SKIP
176bit.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0104,0.0084,1.519231,0.923077,,164540,479352,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
176bit.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0107,0.0091,1.476636,0.897196,,164540,479352,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
176bit.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0099,0.0088,1.595960,0.969697,,202108,479352,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
176bit.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0100,0.0088,1.580000,0.960000,,202108,479352,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
176bit.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0131,0.0124,1.206107,0.732824,,160973,479352,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
176bit.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0074,0.0066,2.135135,1.297297,,658160,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
176bit.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0158,0.0123,1.000000,0.607595,,658160,358848,original,original,false,,,true,0,exact_abs_or_rel,SKIP
ACTIVSg2000.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0092,0.0074,1.608696,1.000000,,228040,126816,original,original,false,0,0,true,0,exact_abs_or_rel,SKIP
ACTIVSg2000.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0101,0.0080,1.465347,0.910891,,228040,126816,auto_lossless,original,true,28016,228040,true,0,exact_abs_or_rel,SKIP
ACTIVSg2000.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0098,0.0090,1.510204,0.938776,,57010,126816,fp16,fp16,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg2000.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0101,0.0089,1.465347,0.910891,,57010,126816,bf16,bf16,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg2000.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0100,0.0093,1.480000,0.920000,,60209,126816,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg2000.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0121,0.0101,1.223140,0.760331,,62481,126816,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg2000.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0136,0.0127,1.088235,0.676471,,45957,126816,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,SKIP
ACTIVSg2000.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0075,0.0065,1.973333,1.226667,,228040,,original,raw_double,false,,,1,0,exact_abs_or_rel,SKIP
