matrix,matrix_bytes,operator_name,requested_operator,operator_family,operator_promotion_status,operator_runner,verify_gate,layout,effective_layout,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_unique_overflow,value_codec_auto_raw_payload_bytes,value_codec_auto_candidate_payload_bytes,status,failure_class,rows,cols,nnz,work_items,gpu_num_blocks,position_payload_bytes,value_exact,value_codebook_size,value_payload_bytes,value_bytes_per_nnz,avg_ms,min_ms,gpu_convert_event_ms,value_codec_auto_select_event_ms,col_bitmap_pack_event_ms,load_balance_pack_event_ms,value_codec_auto_select_host_ms,value_pack_host_ms,cusparse_preprocess_event_ms,verify_cpu,spmv_output_rel_err,elapsed_s,error
cage_G_01.mtx,429,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,10,10,30,2,5,40,true,0,240,8,0.0054,0.0048,0.1640,0.0000,0.0113,0.0844,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.885,
cage_G_01.mtx,429,all_one_lb,auto_lossless_lb,lossless_value_specialized,buildable_needs_report,bitbsr_value_specialized,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,auto_lossless,all_one,true,1,false,240,0,ok,none,10,10,30,2,5,40,true,0,0,0,0.0057,0.0052,0.1751,0.1392,0.0107,0.0860,0.1607,0.0382,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,2.206,
cage_G_01.mtx,429,fp16_lb,fp16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,fp16,fp16,false,0,false,0,0,ok,none,10,10,30,2,5,40,false,0,60,2,0.0051,0.0042,0.1688,0.0000,0.0132,0.0861,0.0000,0.0499,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.952,
cage_G_01.mtx,429,bf16_lb,bf16_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bf16,bf16,false,0,false,0,0,ok,none,10,10,30,2,5,40,false,0,60,2,0.0051,0.0047,0.1741,0.0000,0.0117,0.0851,0.0000,0.0498,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.967,
cage_G_01.mtx,429,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8,bfp8,false,0,false,0,0,ok,none,10,10,30,2,5,40,false,0,40,1.33333,0.0048,0.0044,0.1735,0.0000,0.0129,0.0821,0.0000,0.0560,,"PASS, max_abs=0.0001, max_rel=0.0001",0.0001,2.078,
cage_G_01.mtx,429,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp8_outlier,bfp8_outlier,false,0,false,0,0,ok,none,10,10,30,2,5,40,false,0,40,1.33333,0.0051,0.0039,0.1726,0.0000,0.0127,0.0919,0.0000,0.0683,,"PASS, max_abs=0.0001, max_rel=0.0001",0.0001,1.987,
cage_G_01.mtx,429,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,buildable_needs_report,bitbsr_value_specialized,spmv_max_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,bfp4,bfp4,false,0,false,0,0,ok,none,10,10,30,2,5,40,false,0,25,0.833333,0.0057,0.0048,0.1705,0.0000,0.0125,0.0883,0.0000,0.0648,,"PASS, max_abs=0.0044, max_rel=0.0020",0.0020,2.102,
cage_G_01.mtx,429,hybrid_lb,hybrid_lb,structural_hybrid,promoted,csr_bitbsr_fused_lb,exact_abs_or_rel,csr_bitbsr_fused_lb,csr_bitbsr_fused_lb,original,raw_double,false,,,,,ok,none,10,10,30,2,5,,1,0,240,8,0.0056,0.0049,,,0.0000,0.0000,,,0.0000,"PASS, max_abs=0.0000, max_rel=0.0000",,2.340,
cage_G_01.mtx,429,cusparse_csr,cusparse_default,external_baseline,external_baseline,cusparse_csr,exact_abs_or_rel,cusparse_csr,cusparse_csr,original,original,false,,,,,ok,none,10,10,30,0,0,164,true,0,240,8,0.0113,0.0082,0.0000,,0.0000,0.0000,,0.0000,0.1507,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.746,
fxm3_6.mtx,468465,original_lb,original_lb,load_balanced_traversal,promoted,bitbsr_original_traversal,exact_abs_or_rel,col_bitmap64_flag_lb,col_bitmap64_flag_lb,original,original,false,0,false,0,0,ok,none,5026,5026,94026,756,13797,110376,true,0,752208,8,0.0089,0.0077,0.2537,0.0000,0.0130,0.1031,0.0000,0.0000,,"PASS, max_abs=0.0000, max_rel=0.0000",0.0000,1.691,
