matrix,requested_operator,operator_name,operator_family,status,failure_class,claim_status,avg_ms,min_ms,speedup_vs_cusparse,speedup_vs_original_lb,speedup_vs_original_nolb,value_payload_bytes,position_payload_bytes,value_codec,value_codec_effective,value_codec_auto_selected,value_codec_auto_unique_count,value_codec_auto_candidate_payload_bytes,value_codec_exact,value_codebook_size,verify_gate,verify_cpu
Franz8.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0067,0.0053,2.134328,1.000000,,802944,141728,original,original,false,0,0,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
Franz8.mtx,auto_lossless_lb,sign2_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0086,0.0082,1.662791,0.779070,,70864,141728,auto_lossless,sign2,true,2,70864,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
Franz8.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0062,0.0048,2.306452,1.080645,,200736,141728,fp16,fp16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
Franz8.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0068,0.0056,2.102941,0.985294,,200736,141728,bf16,bf16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
Franz8.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0079,0.0067,1.810127,0.848101,,135800,141728,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0003, max_rel=0.0001"
Franz8.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0067,0.0053,2.134328,1.000000,,135800,141728,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0003, max_rel=0.0001"
Franz8.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0073,0.0064,1.958904,0.917808,,85616,141728,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0103, max_rel=0.0020"
Franz8.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0073,0.0061,1.958904,0.917808,,802944,,original,raw_double,false,,,1,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
Franz8.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0143,0.0123,1.000000,0.468531,,802944,468388,original,original,false,,,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
G65.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0067,0.0047,2.179104,1.000000,,256000,64000,original,original,false,0,0,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
G65.mtx,auto_lossless_lb,sign2_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_win,0.0061,0.0037,2.393443,1.098361,,32000,64000,auto_lossless,sign2,true,2,32000,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
G65.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0070,0.0044,2.085714,0.957143,,64000,64000,fp16,fp16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
G65.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0054,0.0043,2.703704,1.240741,,64000,64000,bf16,bf16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
G65.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0054,0.0043,2.703704,1.240741,,48000,64000,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0002, max_rel=0.0001"
G65.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0063,0.0051,2.317460,1.063492,,48000,64000,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0002, max_rel=0.0001"
G65.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0073,0.0060,2.000000,0.917808,,32000,64000,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0066, max_rel=0.0020"
G65.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0068,0.0057,2.147059,0.985294,,256000,,original,raw_double,false,,,1,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
G65.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0146,0.0123,1.000000,0.458904,,256000,160004,original,original,false,,,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
IG5-6.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0053,0.0046,2.169811,1.000000,,2008,312,original,original,false,0,0,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
IG5-6.mtx,auto_lossless_lb,dict16_lb,lossless_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0076,0.0068,1.513158,0.697368,,680,312,auto_lossless,dict16,true,7,680,true,7,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
IG5-6.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0067,0.0048,1.716418,0.791045,,502,312,fp16,fp16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
IG5-6.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0060,0.0047,1.916667,0.883333,,502,312,bf16,bf16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
IG5-6.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0058,0.0046,1.982759,0.913793,,329,312,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0535, max_rel=0.0428"
IG5-6.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0052,0.0047,2.211538,1.019231,,329,312,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0535, max_rel=0.0428"
IG5-6.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,fail:1,accuracy_fail,accuracy_fail,0.0065,0.0049,1.769231,0.815385,,204,312,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,"FAIL, max_abs=1.2144, max_rel=0.9715"
IG5-6.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0071,0.0053,1.619718,0.746479,,2008,,original,raw_double,false,,,1,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
IG5-6.mtx,cusparse_default,cusparse_csr,external_baseline,ok,none,external_baseline,0.0115,0.0082,1.000000,0.460870,,2008,1128,original,original,false,,,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
M10PI_n1_E.mtx,original_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0054,0.0038,2.444444,1.000000,,4224,1056,original,original,false,0,0,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
M10PI_n1_E.mtx,auto_lossless_lb,original_lb,load_balanced_traversal,ok,none,promoted_fallback,0.0060,0.0052,2.200000,0.900000,,4224,1056,auto_lossless,original,true,100,4224,true,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
M10PI_n1_E.mtx,fp16_lb,fp16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0051,0.0046,2.588235,1.058824,,1056,1056,fp16,fp16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.1012"
M10PI_n1_E.mtx,bf16_lb,bf16_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0062,0.0057,2.129032,0.870968,,1056,1056,bf16,bf16,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=0.0037"
M10PI_n1_E.mtx,bfp8_lb,bfp8_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_win,0.0049,0.0040,2.693878,1.102041,,792,1056,bfp8,bfp8,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0001, max_rel=1.0000"
M10PI_n1_E.mtx,bfp8_outlier_lb,bfp8_outlier_lb,controlled_lossy_value_specialized,ok,none,accuracy_pass_runtime_loss,0.0080,0.0069,1.650000,0.675000,,824,1056,bfp8_outlier,bfp8_outlier,false,0,0,false,0,spmv_max_rel,"PASS, max_abs=0.0000, max_rel=1.0000"
M10PI_n1_E.mtx,bfp4_lb,bfp4_lb,controlled_lossy_value_specialized,fail:1,accuracy_fail,accuracy_fail,0.0056,0.0048,2.357143,0.964286,,528,1056,bfp4,bfp4,false,0,0,false,0,spmv_max_rel,"FAIL, max_abs=0.0005, max_rel=1.0000"
M10PI_n1_E.mtx,hybrid_lb,hybrid_lb,structural_hybrid,ok,none,promoted_fallback,0.0066,0.0057,2.000000,0.818182,,4224,,original,raw_double,false,,,1,0,exact_abs_or_rel,"PASS, max_abs=0.0000, max_rel=0.0000"
