matrix,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2
ASIC_680k,2638997,0.024704,0.025824,1.04534,1.94868,0.000576001,1
ASIC_680ks,1693767,0.026432,0.026432,1,1.93509,0.000452916,1
F1,26837113,0.077024,0.196608,2.55256,1.47805,0.00998348,1
Freescale1,17052626,0.150976,0.205696,1.36244,1.73938,0.00121296,1
FullChip,26621983,0.18,0.272672,1.51484,1.77873,0.00145593,1
Ga41As41H72,18488476,0.048576,0.14112,2.90514,1.51844,0.00245644,1
Hamrle3,5514242,0.044096,0.042912,0.973149,1.54615,0.00427871,1
Si41Ge41H72,15011265,0.04208,0.106432,2.52928,1.48735,0.00805938,1
TSOPF_RS_b2383_c1,16171169,0.026976,0.034912,1.29419,1.07267,0.0022738,1
adder_dcop_30,11246,0.006848,0.006784,0.990654,1.98426,0.000468163,1
bcircuit,375558,0.006464,0.006976,1.07921,1.65583,0.00263193,1
bcsstk09,18437,0.0064,0.00672,1.05,1.27325,0.0048862,1
bcsstk10,22070,0.00544,0.006048,1.11176,1.328,0.0040202,1
bcsstk17,428650,0.00992,0.008896,0.896774,1.22695,0.00433949,1
bcsstk23,45178,0.006816,0.006432,0.943662,1.57681,0.00346446,1
bcsstk24,159910,0.008672,0.008544,0.98524,1.16623,0.00759663,1
bcsstk30,2043492,0.0112,0.011488,1.02571,1.20523,6.28847e-05,1
bcsstm06,420,0.004928,0.004864,0.987013,2,0.00191646,1
bcsstm13,21181,0.007904,0.007808,0.987854,1.72438,0.00158334,1
cage14,27130349,0.128096,0.241984,1.88908,1.92908,0.0095654,1
cant,4007383,0.01616,0.017696,1.09505,1.21954,0.00637021,1
cfd1,1825580,0.011744,0.012256,1.0436,1.57832,0.00333434,1
circuit5M,59524291,0.428352,0.653152,1.5248,1.69326,0.00195391,1
circuit_3,48137,0.007712,0.008448,1.09544,1.71569,0.00100373,1
com-Youtube,5975248,0.061664,0.067392,1.09289,1.99927,2.28443e-06,1
consph,6010480,0.02032,0.022944,1.12913,1.22494,0.00782824,1
