matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
L-9.mtx,bfp8,71192,0.004768,0.003776,0.791946,2,-1,0,bfp8_blocks+bf16_residual,ok
L-9.mtx,auto,71192,0.005312,0.004544,0.855422,1.00011,-1,0,dict_u8_lossless,ok
cage_G_02.mtx,bfp8,42,0.005216,0.0048,0.920245,1.80952,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_02.mtx,auto,42,0.004992,0.004352,0.871795,1.19048,-1,0,dict_u8_lossless,ok
cage_G_10.mtx,bfp8,174,0.003808,0.003808,1,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_10.mtx,auto,174,0.004128,0.00352,0.852713,1.04598,-1,0,dict_u8_lossless,ok
cage_G_18.mtx,bfp8,174,0.003936,0.004672,1.18699,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_18.mtx,auto,174,0.00384,0.003872,1.00833,1.04598,-1,0,dict_u8_lossless,ok
cage_G_26.mtx,bfp8,336,0.00384,0.00384,1,2,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_26.mtx,auto,336,0.003808,0.00384,1.0084,1.02381,-1,0,dict_u8_lossless,ok
cage_G_34.mtx,bfp8,320,0.003872,0.003808,0.983471,1.975,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_34.mtx,auto,320,0.003872,0.00384,0.991736,1.025,-1,0,dict_u8_lossless,ok
cage_G_42.mtx,bfp8,1314,0.003808,0.003808,1,1.98782,-1,0,bfp8_blocks+bf16_residual,ok
cage_G_42.mtx,auto,1314,0.003872,0.00384,0.991736,1.00609,-1,0,dict_u8_lossless,ok
grid1_dual.mtx,bfp8,840,0.004064,0.003808,0.937008,2,-1,0,bfp8_blocks+bf16_residual,ok
grid1_dual.mtx,auto,840,0.004128,0.004032,0.976744,1.00952,-1,0,dict_u8_lossless,ok
se_G_03.mtx,bfp8,92,0.004704,0.003904,0.829932,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_03.mtx,auto,92,0.003808,0.00384,1.0084,1.08696,-1,0,dict_u8_lossless,ok
se_G_11.mtx,bfp8,24572,0.004736,0.005472,1.15541,2,-1,0,bfp8_blocks+bf16_residual,ok
se_G_11.mtx,auto,24572,0.003968,0.004192,1.05645,1.00033,-1,0,dict_u8_lossless,ok
whitaker3_dual.mtx,bfp8,57162,0.0056,0.005408,0.965714,1.99958,-1,0,bfp8_blocks+bf16_residual,ok
whitaker3_dual.mtx,auto,57162,0.005408,0.005344,0.988166,1.00014,-1,0,dict_u8_lossless,ok
email.mtx,bfp8,10902,0.007392,0.006656,0.900433,1.96964,-1,0,bfp8_blocks+bf16_residual,ok
email.mtx,auto,10902,0.00704,0.006432,0.913636,1.00073,-1,0,dict_u8_lossless,ok
bfwb62.mtx,bfp8,342,0.003808,0.00384,1.0084,1.72222,-1,0,bfp8_blocks+bf16_residual,ok
bfwb62.mtx,auto,342,0.00416,0.003872,0.930769,1.49123,-1,0,dict_u8_lossless,ok
cdde5.mtx,bfp8,4681,0.003808,0.003872,1.01681,1.58449,-1,0,bfp8_blocks+bf16_residual,ok
cdde5.mtx,auto,4681,0.006656,0.005376,0.807692,1.00855,-1,0,dict_u8_lossless,ok
dw2048.mtx,bfp8,10114,0.003808,0.004064,1.06723,1.54439,-1,0,bfp8_blocks+bf16_residual,ok
dw2048.mtx,auto,10114,0.003968,0.005856,1.47581,1.54439,-1,0,bfp8_blocks+bf16_residual,ok
mhd3200a.mtx,bfp8,68026,0.006048,0.006752,1.1164,1.21151,-1,0,bfp8_blocks+bf16_residual,ok
mhd3200a.mtx,auto,68026,0.0048,0.0048,1,1.21151,-1,0,bfp8_blocks+bf16_residual,ok
olm100.mtx,bfp8,396,0.003872,0.003872,1,1.24747,-1,0,bfp8_blocks+bf16_residual,ok
olm100.mtx,auto,396,0.00384,0.00384,1,1.12121,-1,0,dict_u8_lossless,ok
qh1484.mtx,bfp8,6110,0.00384,0.003968,1.03333,1.9689,-1,0,bfp8_blocks+bf16_residual,ok
qh1484.mtx,auto,6110,0.004192,0.005856,1.39695,1.9689,-1,0,bfp8_blocks+bf16_residual,ok
rdb200l.mtx,bfp8,1120,0.00384,0.003872,1.00833,1.48214,-1,0,bfp8_blocks+bf16_residual,ok
rdb200l.mtx,auto,1120,0.003904,0.003904,1,1.04286,-1,0,dict_u8_lossless,ok
rdb968.mtx,bfp8,5632,0.005568,0.005504,0.988506,1.49219,-1,0,bfp8_blocks+bf16_residual,ok
rdb968.mtx,auto,5632,0.004,0.00384,0.96,1.00852,-1,0,dict_u8_lossless,ok
tols90.mtx,bfp8,1746,0.0064,0.005888,0.92,1.14891,-1,0,bfp8_blocks+bf16_residual,ok
tols90.mtx,auto,1746,0.006464,0.005888,0.910891,1.14891,-1,0,bfp8_blocks+bf16_residual,ok
bcsstm34.mtx,bfp8,24270,0.0088,0.009024,1.02545,1.21599,-1,0,bfp8_blocks+bf16_residual,ok
bcsstm34.mtx,auto,24270,0.00672,0.00928,1.38095,1.21599,-1,0,bfp8_blocks+bf16_residual,ok
msc01050.mtx,bfp8,26198,0.01232,0.012352,1.0026,1.47519,-1,0,bfp8_blocks+bf16_residual,ok
msc01050.mtx,auto,26198,0.009952,0.009984,1.00322,1.47519,-1,0,bfp8_blocks+bf16_residual,ok
circuit_3.mtx,bfp8,48137,0.007232,0.008288,1.14602,1.71569,-1,0,bfp8_blocks+bf16_residual,ok
circuit_3.mtx,auto,48137,0.008352,0.006272,0.750958,1.71569,-1,0,bfp8_blocks+bf16_residual,ok
cz2548.mtx,bfp8,25674,0.0048,0.004704,0.98,1.67294,-1,0,bfp8_blocks+bf16_residual,ok
cz2548.mtx,auto,25674,0.006976,0.00464,0.665138,1.67294,-1,0,bfp8_blocks+bf16_residual,ok
s1rmt3m1.mtx,bfp8,217651,0.005856,0.008352,1.42623,1.14799,-1,0,bfp8_blocks+bf16_residual,ok
s1rmt3m1.mtx,auto,217651,0.00816,0.008096,0.992157,1.14799,-1,0,bfp8_blocks+bf16_residual,ok
cs4.mtx,bfp8,87716,0.00416,0.003872,0.930769,1.9977,-1,0,bfp8_blocks+bf16_residual,ok
cs4.mtx,auto,87716,0.005824,0.00528,0.906593,1.00009,-1,0,dict_u8_lossless,ok
delaunay_n23.mtx,bfp8,50331568,0.467648,0.62976,1.34665,1.87669,-1,0,bfp8_blocks+bf16_residual,ok
