matrix,codec,nnz,joint_ms,hybrid_fp64_ms,joint_speedup_vs_hybrid,bytes_per_nnz,rel_err,pass_1e-2,joint_value_codec,status
whitaker3.mtx,bfp8,57978,0.006272,0.005728,0.913265,1.87342,4.35965e-05,1,bfp8_blocks+bf16_residual,ok
whitaker3.mtx,bfp8_outlier,57978,0.006496,0.005696,0.876847,1.87342,4.35965e-05,1,bfp8_outlier_blocks+bf16_residual,ok
whitaker3.mtx,auto,57978,0.00496,0.004608,0.929032,1.00014,0,1,dict_u8_lossless,ok
EternityII_A_b.mtx,bfp8,358,0.00448,0.004224,0.942857,2,0,1,bfp8_blocks+bf16_residual,ok
EternityII_A_b.mtx,bfp8_outlier,358,0.004768,0.004288,0.899329,2,0,1,bfp8_outlier_blocks+bf16_residual,ok
EternityII_A_b.mtx,auto,358,0.003808,0.00384,1.0084,1.02235,0,1,dict_u8_lossless,ok
bcsstk33.mtx,bfp8,591904,0.011616,0.010048,0.865014,1.23724,5.85311e-05,1,bfp8_blocks+bf16_residual,ok
bcsstk33.mtx,bfp8_outlier,591904,0.011744,0.009952,0.847411,1.23724,5.85311e-05,1,bfp8_outlier_blocks+bf16_residual,ok
bcsstk33.mtx,auto,591904,0.014912,0.011584,0.776824,1.00001,0,1,dict_u8_lossless,ok
can_268.mtx,bfp8,3082,0.004416,0.004672,1.05797,1.68819,3.2795e-05,1,bfp8_blocks+bf16_residual,ok
can_268.mtx,bfp8_outlier,3082,0.007008,0.007264,1.03653,1.68819,3.2795e-05,1,bfp8_outlier_blocks+bf16_residual,ok
can_268.mtx,auto,3082,0.00848,0.006592,0.777358,1.0026,0,1,dict_u8_lossless,ok
cegb2802.mtx,bfp8,277362,0.011872,0.008704,0.733154,1.13946,5.8492e-05,1,bfp8_blocks+bf16_residual,ok
cegb2802.mtx,bfp8_outlier,277362,0.011648,0.010368,0.89011,1.13946,5.8492e-05,1,bfp8_outlier_blocks+bf16_residual,ok
cegb2802.mtx,auto,277362,0.01472,0.008736,0.593478,1.00003,0,1,dict_u8_lossless,ok
dwt_162.mtx,bfp8,1182,0.00592,0.005344,0.902703,1.52961,5.31597e-05,1,bfp8_blocks+bf16_residual,ok
dwt_162.mtx,bfp8_outlier,1182,0.004,0.005824,1.456,1.52961,5.31597e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_162.mtx,auto,1182,0.004704,0.00592,1.2585,1.00677,0,1,dict_u8_lossless,ok
dwt_310.mtx,bfp8,2448,0.006432,0.006112,0.950249,1.4424,6.28847e-05,1,bfp8_blocks+bf16_residual,ok
dwt_310.mtx,bfp8_outlier,2448,0.006592,0.00384,0.582524,1.4424,6.28847e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_310.mtx,auto,2448,0.004352,0.00384,0.882353,1.00327,0,1,dict_u8_lossless,ok
dwt_607.mtx,bfp8,5131,0.00752,0.007424,0.987234,1.55623,4.99379e-05,1,bfp8_blocks+bf16_residual,ok
dwt_607.mtx,bfp8_outlier,5131,0.006624,0.007648,1.15459,1.55623,4.99379e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_607.mtx,auto,5131,0.005888,0.006816,1.15761,1.00156,0,1,dict_u8_lossless,ok
dwt_992.mtx,bfp8,16744,0.007424,0.006272,0.844828,1.21739,6.10352e-05,1,bfp8_blocks+bf16_residual,ok
dwt_992.mtx,bfp8_outlier,16744,0.005888,0.00592,1.00543,1.21739,6.10352e-05,1,bfp8_outlier_blocks+bf16_residual,ok
dwt_992.mtx,auto,16744,0.007328,0.00768,1.04803,1.00048,0,1,dict_u8_lossless,ok
jagmesh6.mtx,bfp8,8993,0.003968,0.003904,0.983871,1.58212,4.40021e-05,1,bfp8_blocks+bf16_residual,ok
jagmesh6.mtx,bfp8_outlier,8993,0.004064,0.003968,0.976378,1.58212,4.40021e-05,1,bfp8_outlier_blocks+bf16_residual,ok
jagmesh6.mtx,auto,8993,0.006496,0.005216,0.802956,1.00089,0,1,dict_u8_lossless,ok
lock2232.mtx,bfp8,80352,0.006368,0.006112,0.959799,1.22715,5.35308e-05,1,bfp8_blocks+bf16_residual,ok
lock2232.mtx,bfp8_outlier,80352,0.006208,0.006208,1,1.22715,5.35308e-05,1,bfp8_outlier_blocks+bf16_residual,ok
lock2232.mtx,auto,80352,0.008864,0.007136,0.805054,1.0001,0,1,dict_u8_lossless,ok
lshp2614.mtx,bfp8,17980,0.005792,0.00608,1.04972,1.67725,3.90625e-05,1,bfp8_blocks+bf16_residual,ok
lshp2614.mtx,bfp8_outlier,17980,0.00576,0.005984,1.03889,1.67725,3.90625e-05,1,bfp8_outlier_blocks+bf16_residual,ok
lshp2614.mtx,auto,17980,0.006304,0.006912,1.09645,1.00044,0,1,dict_u8_lossless,ok
