matrix,nnz,csr5_convert_ms,csr5_spmv_ms,csr5_gflops,csr5_bandwidth,check,status
cage_G_36.mtx,210,24.8436,0.0102457,0.0409927,0.459509,PASS,ok
nasa4704.mtx,104756,34.0184,0.0302564,6.92456,71.1114,PASS,ok
ash608.mtx,1216,2.38541,0.0109364,0.222377,2.89127,PASS,ok
can_229.mtx,1777,2.55674,0.0101991,0.348463,3.75446,PASS,ok
can_715.mtx,6665,3.39798,0.0200734,0.664062,7.06825,PASS,ok
dwt_1005.mtx,8621,21.8012,0.0129653,1.32985,14.229,PASS,ok
dwt_245.mtx,1461,6.03376,0.0102353,0.285483,3.14246,PASS,ok
dwt_512.mtx,3502,11.9274,0.0117406,0.596562,6.48927,PASS,ok
dwt_87.mtx,541,2.34032,0.0108653,0.0995827,1.09228,PASS,ok
jagmesh3.mtx,7361,1.99037,0.0110531,1.33193,14.502,PASS,ok
jgl011.mtx,76,3.98851,0.0146588,0.0103692,0.11297,PASS,ok
lshp1561.mtx,10681,4.35926,0.0115418,1.85083,20.1317,PASS,ok
lshp_577.mtx,3889,2.57235,0.0111352,0.698508,7.60725,PASS,ok
bibd_13_6.mtx,25740,2.08643,0.0109337,4.70838,47.1698,PASS,ok
aa01.mtx,72965,1.93072,0.0217313,6.71521,67.6067,PASS,ok
mycielskian10.mtx,44392,5.4775,0.0467259,1.9001,19.1981,PASS,ok
mycielskian8.mtx,4720,13.7303,0.0330367,0.285743,2.92692,PASS,ok
Tina_DisCal.mtx,41,10.8325,0.0120889,0.00678308,0.0790808,PASS,ok
sphere3.mtx,1794,13.0586,0.0100129,0.358338,3.89298,PASS,ok
G34.mtx,8000,16.6092,0.0207692,0.77037,8.85944,PASS,ok
Franz6.mtx,45456,4.14218,0.0169361,5.36794,59.0476,PASS,ok
cis-n4c6-b1.mtx,420,1.99478,0.0101634,0.0826493,1.07483,PASS,ok
n3c4-b3.mtx,60,2.3552,0.00703238,0.0170639,0.196804,PASS,ok
n3c6-b1.mtx,210,2.08234,0.0102158,0.0411126,0.534856,PASS,ok
lpi_ceria3d.mtx,21178,8.1703,0.0357948,1.1833,13.0319,PASS,ok
ww_36_pmec_36_B.mtx,1,12.6311,0.0131798,0.000151748,0.061913,PASS,ok
lp_cre_d.mtx,246614,2.11043,0.0214169,23.0299,235.3,PASS,ok
ncvxqp9.mtx,54040,3.09507,0.0102909,10.5025,124.328,PASS,ok
usps_norm_5NN.mtx,81112,13.9153,0.0277658,5.84259,63.1801,PASS,ok
deter4.mtx,19231,9.53702,0.00925024,4.15795,45.7765,PASS,ok
stormg2-27.mtx,94274,21.3373,0.0188814,9.98589,109.037,PASS,ok
geom.mtx,23796,5.14368,0.0220519,2.15818,25.5778,PASS,ok
sx-superuser_C2Q.mtx,291030,27.0404,0.0284311,20.4726,286.645,PASS,ok
gre_216a.mtx,876,14.8466,0.0208502,0.0840278,0.964785,PASS,ok
Trec7.mtx,147,2.04432,0.00579517,0.0507319,0.530787,PASS,ok
lp_sc50a.mtx,160,12.3408,0.0102859,0.0311105,0.369826,PASS,ok
fv2.mtx,87025,2.8473,0.0136809,12.7221,135.818,PASS,ok
mesh3e1.mtx,1889,2.9873,0.0148339,0.254687,2.78093,PASS,ok
illc1850.mtx,8758,6.31466,0.0110906,1.57936,17.7957,PASS,ok
lp_gfrd_pnc.mtx,2445,38.1586,0.0313944,0.15576,1.79319,PASS,ok
cage7.mtx,3084,3.39478,0.0275907,0.223554,2.38356,PASS,ok
jan99jac020sc.mtx,38692,3.88189,0.0110864,6.98008,77.1334,PASS,ok
lp_standata.mtx,3230,5.9497,0.0280267,0.230495,2.4588,PASS,ok
sctap1-2b_A_2.mtx,6334,2.46848,0.0125087,1.01274,11.0774,PASS,ok
bips98_1142_C.mtx,20,2.0656,0.00588003,0.00680268,0.0768703,PASS,ok
rdb1250.mtx,7300,5.7465,0.0109558,1.33263,14.6958,PASS,ok
rdb800l.mtx,4640,2.69226,0.0109757,0.845506,9.33008,PASS,ok
lpi_cplex2.mtx,1215,8.088,0.0159733,0.152129,1.68982,PASS,ok
g7jac010sc.mtx,19635,5.71846,0.0343101,1.14456,12.453,PASS,ok
model1.mtx,3028,2.08246,0.012292,0.492678,5.28051,PASS,ok
c-18.mtx,15145,3.3631,0.0226563,1.33694,14.5184,PASS,ok
c-27.mtx,31375,4.49904,0.0398811,1.57343,17.1074,PASS,ok
c-38.mtx,77689,2.0281,0.0150906,10.2963,109.426,PASS,ok
t2d_q9_A_20.mtx,87025,7.83181,0.0143879,12.097,129.145,PASS,ok
kineticBatchReactor_4.mtx,74869,7.18378,0.0166992,8.96676,94.7735,PASS,ok
spaceShuttleEntry_2.mtx,24073,4.4257,0.0167234,2.87897,29.8146,PASS,ok
g7jac020sc.mtx,45465,5.1519,0.014557,6.24648,67.2875,PASS,ok
bips07_2476_C.mtx,20,1.98854,0.00603597,0.00662694,0.0748844,PASS,ok
thermal.mtx,66528,2.07395,0.015098,8.81285,90.8756,PASS,ok
nnc666.mtx,4044,3.19872,0.0122879,0.65821,7.23282,PASS,ok
lp_pilot_we.mtx,9265,3.60333,0.011826,1.56688,16.4018,PASS,ok
freeFlyingRobot_11.mtx,40054,6.68749,0.014686,5.45474,58.9911,PASS,ok
freeFlyingRobot_4.mtx,18218,2.09107,0.0122422,2.97625,32.0742,PASS,ok
reorientation_1.mtx,7326,15.3623,0.0287981,0.508783,5.37007,PASS,ok
spaceShuttleEntry_4.mtx,39669,11.9855,0.0381456,2.07987,21.5695,PASS,ok
spaceStation_4.mtx,13626,5.75034,0.0476671,0.571715,5.9564,PASS,ok
tumorAntiAngiogenesis_5.mtx,4690,11.0497,0.0263598,0.355845,3.76801,PASS,ok
bp_1600.mtx,4841,4.97635,0.0221481,0.437148,4.81703,PASS,ok
scrs8-2r.mtx,58439,2.74058,0.0107772,10.8449,124.444,PASS,ok
